Date,Open,High,Low,Close,Effective Date,Bank Rate,Repo,Reverse Repo,Standing Deposit Facility (SDF) Rate,Marginal Standing Facility (MSF) Rate,Cash Reserve Ratio (CRR),Statutory Liquidity Ratio (SLR)
2024-04-02,47490.75,47707.35,47408.55,47545.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-03,47350.25,47676.95,47279.80,47624.25,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-04,48086.20,48254.65,47712.70,48060.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-05,48104.65,48557.40,47894.50,48493.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-08,48586.75,48716.95,48424.65,48581.7,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-09,48810.80,48960.75,48568.25,48730.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-10,48879.55,49057.40,48669.25,48986.6,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-12,48671.2,48882.65,48477.55,48564.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-15,48057.5,48255.5,47725.8,47773.25,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-16,47436.7,47609,47316.55,47484.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-18,47592.7,47829.75,46982.15,47069.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-19,46744.95,47668.7,46579.05,47574.15,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-22,48145.7,48146.3,47628.45,47924.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-23,48299.6,48302.7,47899.3,47970.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-24,48120.9,48246.2,48028.7,48189.0,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-25,47772.65,48625.45,47737.2,48494.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-26,48660,48679.65,48088.25,48201.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-29,48359.9,49473.6,48342.7,49424.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-04-30,49477.1,49974.75,49249.9,49396.75,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-02,49262,49529.35,49123.6,49231.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-03,49375.05,49607.75,48659.7,48923.55,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-06,49174.55,49252.65,48784,48895.3,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-07,48965.05,49023.5,48213.75,48285.35,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-08,48124.2,48223.05,47851.15,48021.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-09,47976.35,48258.65,47440.65,47487.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-10,47555.5,47868.7,47313.35,47421.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-13,47389.8,47841.6,46983.25,47754.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-14,47748.85,47937.25,47607.85,47859.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-15,47923.1,47957.2,47534.5,47687.45,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-16,47945.85,48052.9,47340.35,47977.05,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-17,47842.95,48188.65,47758.8,48115.65,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-18,48197.3,48222.35,48108.15,48199.5,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-21,47927.1,48259.75,47927.1,48048.2,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-22,48113.9,48114.05,47435.25,47781.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-23,47899.35,48829.7,47873.15,48768.6,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-24,48668,49052.95,48644.8,48971.65,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-27,49105.9,49688.85,49051.25,49281.8,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-28,49390.9,49511.15,49043.65,49142.15,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-29,48786.7,49022.6,48401.55,48501.35,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-30,48313.6,49044.6,48313.6,48682.35,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-05-31,48895.15,49122.55,48569.05,48983.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-03,50889.85,51133.2,50092.65,50979.95,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-04,50667.05,50667.05,46077.85,46928.6,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-05,47486.6,49362.9,46446.8,49054.6,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-06,49426.4,49672.75,48906.75,49291.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-07,49316.95,49943.2,49080.45,49803.2,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-10,49808.15,50252.95,49622.75,49780.9,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-11,49751.2,49970.3,49530.45,49705.75,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-12,49857.45,50233.4,49697.35,49895.1,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-13,50179,50186.45,49799.65,49846.7,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
2024-06-14,49993.95,50102.6,49693.35,50002.0,2023-02-08,6.75,6.50,3.35,6.25,6.75,4.5,18.00
